title,first name,middle name,second middle name,last name,email,phone number,dayBirth,monthBirth,yearBirth,postal,contury,nationality,solutions,Bristol,year,type,currently,username,password,contact
Miss,Linda,Laura,Thomas,West,adrian05@price-scott.org,664-516-2521x17239,24,11,1936,53437,Bolivia,random,random,True,2020/2021,Postgraduate Taught,random,obutler,a*2Q1c%@(R,1
Ms,Nicholas,Carrie,Robert,Henry,thomasgriffin@campos-pena.com,+1-424-625-6956x638,2,8,1957,42133,China,random,random,False,2020/2021,Postgraduate Research,random,chadramos,@#TUs2NUB2,1
Ms,David,Brianna,Curtis,Archer,omayer@dennis-cabrera.com,+1-121-085-2639x578,8,2,1931,26634,Gibraltar,random,random,False,2022/2023,Postgraduate Taught,random,william60,^2WFdfuN(*,0
Dr,David,Lindsay,Samantha,Ho,amanda81@yahoo.com,001-855-955-8628x83329,16,1,1921,06243,South Georgia and the South Sandwich Islands,random,random,False,2020/2021,Postgraduate Research,random,shepardbrandon,*54CByR28&,0
Mr,Kaitlyn,Natasha,Michael,Diaz,williamstina@gmail.com,+1-310-817-0919,19,1,1928,24555,Mexico,random,random,False,2021/2022,Postgraduate Taught,random,rthomas,H9QbAHbg_!,1
Ms,James,Gregory,Laura,Jenkins,lindseymallory@gmail.com,067-395-7274x816,26,6,1934,60475,Guernsey,random,random,True,2022/2023,Postgraduate Taught,random,arnoldjames,$rMftTMrG7,1
Mrs,Charles,Darrell,Shane,Mccarty,gabriellemyers@cummings.com,001-692-663-3552x58492,15,11,1965,68126,Macedonia,random,random,False,2022/2023,Postgraduate Taught,random,barbaramooney,q2*6KUex%O,0
Miss,Wendy,Heidi,Hannah,Sanchez,mark14@owens.com,269.366.0530x5550,15,1,1951,87553,Kiribati,random,random,True,2022/2023,Postgraduate Taught,random,ashleyking,Eex2Zj!Fy+,1
Mr,Lauren,John,Linda,Lutz,margaret02@gmail.com,726.718.8428,19,2,1959,57126,Chile,random,random,False,2021/2022,Postgraduate Taught,random,austinruben,eOvFyG^K^4,0
Miss,Andrew,Robin,Andrew,Powell,michaelmarshall@gmail.com,+1-274-710-2330x567,3,11,1962,68717,Timor-Leste,random,random,True,2021/2022,Postgraduate Taught,random,daniel78,IaCZ4BNZ2&,1
